PUBLISHED_DATE,STATUS,PFMA,YEAR,MONTH,MANAGEMENT,DISPOSITION,SPECIES,ADIPOSE_MARK,SPECIES_CODE,SCIENTIFIC_NAME,ESTIMATE,STANDARD_ERROR,PERCENT_STANDARD_ERROR
2019-01-16 12:12,Published Estimate - Full Month,PFMA 25,2018,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,778,0,0
2019-01-16 12:23,Published Estimate - Full Month,PFMA 26,2018,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,62,0,0
2019-01-16 12:23,Published Estimate - Full Month,PFMA 27,2018,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,689,0,0
2019-01-07 10:49,Published Estimate - Full Month,PFMA 28,2018,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2131,344.43,0.16
2019-01-07 10:52,Published Estimate - Full Month,PFMA 29,2018,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,9577,2978.35,0.31
2019-01-07 11:02,Published Estimate - Full Month,PFMA 13,2018,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1433,307.8,0.22
2019-01-07 11:04,Published Estimate - Full Month,PFMA 14,2018,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,720,272.72,0.38
2019-01-07 11:05,Published Estimate - Full Month,PFMA 19,2018,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1758,291.4,0.17
2019-01-07 11:05,Published Estimate - Full Month,PFMA 20,2018,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2684,766.89,0.29
2018-01-09 12:35,Published Estimate - Full Month,PFMA 19,2017,March,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,719,99.01,0.14
2018-01-09 12:35,Published Estimate - Full Month,PFMA 20,2017,March,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,496,74.89,0.15
2018-01-09 12:42,Published Estimate - Full Month,PFMA 19,2017,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1544,392.05,0.25
2018-01-09 12:42,Published Estimate - Full Month,PFMA 20,2017,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,796,305.99,0.38
2018-01-11 10:52,Published Estimate - Full Month,PFMA 11,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,28,0,0
2018-01-11 10:52,Published Estimate - Full Month,PFMA 12,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,640,0,0
2018-05-28 14:17,Published Estimate - Full Month,PFMA 121,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,101,0,0
2018-05-28 14:16,Published Estimate - Full Month,PFMA 123,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,315,0,0
2018-05-28 14:17,Published Estimate - Full Month,PFMA 124,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,157,0,0
2018-05-28 14:15,Published Estimate - Full Month,PFMA 125,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,269,0,0
2018-05-28 14:14,Published Estimate - Full Month,PFMA 126,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,61,0,0
2018-01-11 9:55,Published Estimate - Full Month,PFMA 127,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,25,0,0
2018-01-09 12:48,Published Estimate - Full Month,PFMA 13,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1343,163.47,0.12
2018-01-09 12:51,Published Estimate - Full Month,PFMA 14,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2503,652.77,0.26
2018-01-11 9:32,Published Estimate - Full Month,PFMA 15,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,949,0,0
2018-01-11 9:32,Published Estimate - Full Month,PFMA 16,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,952,0,0
2018-01-09 12:53,Published Estimate - Full Month,PFMA 17,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,3091,644.22,0.21
2018-01-09 12:55,Published Estimate - Full Month,PFMA 18,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,996,220.15,0.22
2018-01-09 12:56,Published Estimate - Full Month,PFMA 19,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1841,419.36,0.23
2018-01-09 12:57,Published Estimate - Full Month,PFMA 20,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,976,268.2,0.28
2018-05-28 14:18,Published Estimate - Full Month,PFMA 21,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,91,0,0
2018-05-28 14:16,Published Estimate - Full Month,PFMA 23,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,640,0,0
2018-05-28 14:17,Published Estimate - Full Month,PFMA 24,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,131,0,0
2018-05-28 14:15,Published Estimate - Full Month,PFMA 25,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,217,0,0
2018-05-28 14:15,Published Estimate - Full Month,PFMA 26,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,72,0,0
2018-01-11 9:55,Published Estimate - Full Month,PFMA 27,2017,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,144,0,0
2018-01-09 12:58,Published Estimate - Full Month,PFMA 28,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1475,358.81,0.24
2018-01-09 13:00,Published Estimate - Full Month,PFMA 29,2017,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4250,1118.35,0.26
2018-06-13 9:38,Published Estimate - Full Month,PFMA 11,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,507,89.33,0.18
2018-06-13 9:39,Published Estimate - Full Month,PFMA 12,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2529,395.02,0.16
2018-05-25 15:29,Published Estimate - Full Month,PFMA 121,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,293,64.23,0.22
2018-05-28 9:18,Published Estimate - Full Month,PFMA 123,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,789,100.49,0.13
2018-05-29 9:33,Published Estimate - Full Month,PFMA 124,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,441,,
2018-05-28 14:00,Published Estimate - Full Month,PFMA 125,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,512,0,0
2018-05-25 15:51,Published Estimate - Full Month,PFMA 126,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,450,,
2018-06-13 9:29,Published Estimate - Full Month,PFMA 127,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,334,98.84,0.3
2018-01-09 13:05,Published Estimate - Full Month,PFMA 13,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4969,750.57,0.15
2018-01-09 13:07,Published Estimate - Full Month,PFMA 14,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4322,440.42,0.1
2018-01-11 9:32,Published Estimate - Full Month,PFMA 15,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1732,0,0
2018-01-11 9:32,Published Estimate - Full Month,PFMA 16,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1294,0,0
2018-01-09 13:09,Published Estimate - Full Month,PFMA 17,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2044,310.74,0.15
2018-01-09 13:10,Published Estimate - Full Month,PFMA 18,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1512,219.57,0.15
2018-01-09 13:11,Published Estimate - Full Month,PFMA 19,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1368,233.05,0.17
2018-05-25 15:28,Published Estimate - Full Month,PFMA 20,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2993,849.09,0.28
2018-05-25 15:28,Published Estimate - Full Month,PFMA 21,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,81,28.27,0.35
2018-05-28 9:18,Published Estimate - Full Month,PFMA 23,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2121,434.78,0.21
2018-05-28 13:56,Published Estimate - Full Month,PFMA 24,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,174,,
2018-05-28 13:57,Published Estimate - Full Month,PFMA 25,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1344,0,0
2018-05-25 15:51,Published Estimate - Full Month,PFMA 26,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,308,,
2018-06-13 9:28,Published Estimate - Full Month,PFMA 27,2017,June,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,395,35.66,0.09
2018-01-09 13:13,Published Estimate - Full Month,PFMA 28,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,886,61.49,0.07
2018-01-09 13:16,Published Estimate - Full Month,PFMA 29,2017,June,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1887,415.93,0.22
2018-06-13 10:03,Published Estimate - Full Month,PFMA 11,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,661,92.87,0.14
2018-06-13 10:07,Published Estimate - Full Month,PFMA 12,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4406,365.53,0.08
2018-05-25 15:34,Published Estimate - Full Month,PFMA 121,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2157,467.35,0.22
2018-05-28 9:47,Published Estimate - Full Month,PFMA 123,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2610,395.71,0.15
2021-10-25 14:26,Published Estimate - Full Month,PFMA 124,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,300,,
2018-05-28 14:02,Published Estimate - Full Month,PFMA 124,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,718,,
2018-05-28 8:44,Published Estimate - Full Month,PFMA 125,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1551,456.09,0.29
2018-05-28 8:48,Published Estimate - Full Month,PFMA 125,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,695,130.83,0.19
2018-05-25 15:54,Published Estimate - Full Month,PFMA 126,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,194,,
2018-05-25 15:52,Published Estimate - Full Month,PFMA 126,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1083,,
2018-06-13 9:30,Published Estimate - Full Month,PFMA 127,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,722,191.79,0.27
2018-06-13 9:34,Published Estimate - Full Month,PFMA 127,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,242,58.95,0.24
2018-01-09 13:25,Published Estimate - Full Month,PFMA 13,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,8000,481.63,0.06
2018-01-09 13:28,Published Estimate - Full Month,PFMA 14,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,7169,686.08,0.1
2018-01-11 9:32,Published Estimate - Full Month,PFMA 15,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,3876,0,0
2018-01-11 9:32,Published Estimate - Full Month,PFMA 16,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,5102,0,0
2018-01-09 13:30,Published Estimate - Full Month,PFMA 17,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2935,281.93,0.1
2018-01-09 13:31,Published Estimate - Full Month,PFMA 18,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1869,209.87,0.11
2018-01-09 13:34,Published Estimate - Full Month,PFMA 19,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2067,188.25,0.09
2018-05-25 15:33,Published Estimate - Full Month,PFMA 20,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,5173,486.4,0.09
2018-05-25 15:34,Published Estimate - Full Month,PFMA 21,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,83,33.79,0.41
2018-05-28 9:47,Published Estimate - Full Month,PFMA 23,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,5771,536.34,0.09
2021-10-25 14:25,Published Estimate - Full Month,PFMA 24,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,271,,
2018-05-28 14:02,Published Estimate - Full Month,PFMA 24,2017,July,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,0,,0
2018-05-28 8:50,Published Estimate - Full Month,PFMA 25,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4339,506.59,0.12
2018-05-25 15:53,Published Estimate - Full Month,PFMA 26,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1095,,
2018-06-13 9:33,Published Estimate - Full Month,PFMA 27,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1044,106.49,0.1
2018-01-09 13:36,Published Estimate - Full Month,PFMA 28,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1444,137.33,0.1
2018-01-09 13:39,Published Estimate - Full Month,PFMA 29,2017,July,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2993,273.23,0.09
2018-06-13 10:23,Published Estimate - Full Month,PFMA 11,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,358,52.21,0.15
2018-06-13 10:26,Published Estimate - Full Month,PFMA 12,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,5420,628.79,0.12
2018-05-25 15:37,Published Estimate - Full Month,PFMA 121,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,37,19.46,0.53
2018-05-25 15:35,Published Estimate - Full Month,PFMA 121,2017,August,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,770,268.57,0.35
2018-05-28 10:44,Published Estimate - Full Month,PFMA 123,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1628,354.3,0.22
2018-05-28 10:29,Published Estimate - Full Month,PFMA 123,2017,August,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1501,309.06,0.21
2021-10-25 14:20,Published Estimate - Full Month,PFMA 124,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,159,,
2021-10-25 14:09,Published Estimate - Full Month,PFMA 124,2017,August,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,471,,
2018-05-28 11:33,Published Estimate - Full Month,PFMA 124,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,28,,
2018-05-28 8:55,Published Estimate - Full Month,PFMA 125,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,158,40.98,0.26
2018-05-28 8:53,Published Estimate - Full Month,PFMA 125,2017,August,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1109,79.48,0.07
2018-05-25 15:55,Published Estimate - Full Month,PFMA 126,2017,August,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,827,,
2018-05-25 15:56,Published Estimate - Full Month,PFMA 126,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,118,,
2018-06-13 10:28,Published Estimate - Full Month,PFMA 127,2017,August,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,282,92.09,0.33
2018-06-13 10:34,Published Estimate - Full Month,PFMA 127,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,250,78.33,0.31
2018-01-09 13:48,Published Estimate - Full Month,PFMA 13,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,8817,470.21,0.05
2018-01-09 13:50,Published Estimate - Full Month,PFMA 14,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,6440,548.82,0.09
2018-01-11 9:32,Published Estimate - Full Month,PFMA 15,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2481,0,0
2018-01-11 9:32,Published Estimate - Full Month,PFMA 16,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,3862,0,0
2018-01-11 9:32,Published Estimate - Full Month,PFMA 17,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,5457,0,0
2018-01-11 9:46,Published Estimate - Full Month,PFMA 18,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4773,0,0
2018-01-09 13:51,Published Estimate - Full Month,PFMA 19,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,3226,242.56,0.08
2018-05-25 15:36,Published Estimate - Full Month,PFMA 20,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,12863,849.92,0.07
2018-05-25 15:37,Published Estimate - Full Month,PFMA 21,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,162,16.56,0.1
2018-05-28 10:43,Published Estimate - Full Month,PFMA 23,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,11787,781.7,0.07
2021-10-25 14:19,Published Estimate - Full Month,PFMA 24,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,119,,
2018-05-28 11:27,Published Estimate - Full Month,PFMA 24,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,119,,
2018-05-29 11:08,Published Estimate - Full Month,PFMA 25,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,5787,347.73,0.06
2018-05-25 15:56,Published Estimate - Full Month,PFMA 26,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,457,,
2018-06-13 10:34,Published Estimate - Full Month,PFMA 27,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1191,132.61,0.11
2018-01-09 13:53,Published Estimate - Full Month,PFMA 28,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1233,181.53,0.15
2018-01-09 13:54,Published Estimate - Full Month,PFMA 29,2017,August,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,3845,572.57,0.15
2018-01-11 10:52,Published Estimate - Full Month,PFMA 11,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,205,0,0
2018-01-11 10:52,Published Estimate - Full Month,PFMA 12,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,742,0,0
2018-05-25 15:40,Published Estimate - Full Month,PFMA 121,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,0,0,0
2018-05-25 15:39,Published Estimate - Full Month,PFMA 121,2017,September,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,122,51.86,0.43
2018-05-28 14:12,Published Estimate - Full Month,PFMA 123,2017,September,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,103,79.16,0.77
2018-05-28 16:23,Published Estimate - Full Month,PFMA 123,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,621,32.99,0.05
2018-05-28 14:13,Published Estimate - Full Month,PFMA 124,2017,September,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,61,0,0
2018-05-28 14:09,Published Estimate - Full Month,PFMA 125,2017,September,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,51,0,0
2018-05-28 14:08,Published Estimate - Full Month,PFMA 126,2017,September,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,45,0,0
2018-01-11 9:55,Published Estimate - Full Month,PFMA 127,2017,September,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,17,0,0
2018-01-10 7:46,Published Estimate - Full Month,PFMA 13,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,6196,867.33,0.14
2018-01-10 7:48,Published Estimate - Full Month,PFMA 14,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2908,433.11,0.15
2018-01-11 9:32,Published Estimate - Full Month,PFMA 15,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,701,0,0
2018-01-11 9:32,Published Estimate - Full Month,PFMA 16,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,999,0,0
2018-01-11 9:32,Published Estimate - Full Month,PFMA 17,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2295,0,0
2018-01-11 9:46,Published Estimate - Full Month,PFMA 18,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1396,0,0
2018-01-10 7:49,Published Estimate - Full Month,PFMA 19,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2243,254,0.11
2018-05-25 15:39,Published Estimate - Full Month,PFMA 20,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,9854,994.29,0.1
2018-05-25 15:40,Published Estimate - Full Month,PFMA 21,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,75,9.24,0.12
2018-05-28 16:23,Published Estimate - Full Month,PFMA 23,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4083,613.58,0.15
2018-05-28 14:13,Published Estimate - Full Month,PFMA 24,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,253,0,0
2018-05-28 14:09,Published Estimate - Full Month,PFMA 25,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,704,0,0
2018-05-28 14:08,Published Estimate - Full Month,PFMA 26,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,104,0,0
2018-01-11 9:55,Published Estimate - Full Month,PFMA 27,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,300,0,0
2018-01-10 7:51,Published Estimate - Full Month,PFMA 28,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2963,649.68,0.22
2018-01-10 7:53,Published Estimate - Full Month,PFMA 29,2017,September,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,5028,898.09,0.18
2018-05-28 14:18,Published Estimate - Full Month,PFMA 121,2017,October,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,53,,
2018-05-28 14:19,Published Estimate - Full Month,PFMA 123,2017,October,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,125,,
2018-01-10 7:56,Published Estimate - Full Month,PFMA 13,2017,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1239,346.87,0.28
2018-01-10 7:58,Published Estimate - Full Month,PFMA 14,2017,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,152,65.95,0.43
2018-01-10 7:59,Published Estimate - Full Month,PFMA 19,2017,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,444,123.12,0.28
2018-01-10 7:59,Published Estimate - Full Month,PFMA 20,2017,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1001,364.77,0.36
2018-05-28 14:19,Published Estimate - Full Month,PFMA 23,2017,October,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,83,,
2018-05-28 14:19,Published Estimate - Full Month,PFMA 24,2017,October,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,17,,
2018-01-10 8:00,Published Estimate - Full Month,PFMA 28,2017,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,409,85.82,0.21
2018-01-10 8:01,Published Estimate - Full Month,PFMA 29,2017,October,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,119,31.97,0.27
2017-01-24 10:53,Published Estimate - Full Month,PFMA 19,2016,March,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1586,184.07,0.12
2017-01-24 10:53,Published Estimate - Full Month,PFMA 20,2016,March,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,523,78.07,0.15
2017-01-11 10:46,Published Estimate - Full Month,PFMA 19,2016,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2383,430.7,0.18
2017-01-11 10:46,Published Estimate - Full Month,PFMA 20,2016,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,959,255.13,0.27
2017-02-10 9:06,Published Estimate - Full Month,PFMA 121,2016,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,87,0,0
2017-02-10 9:06,Published Estimate - Full Month,PFMA 123,2016,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,310,0,0
2017-02-10 9:06,Published Estimate - Full Month,PFMA 124,2016,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,120,0,0
2017-02-10 9:06,Published Estimate - Full Month,PFMA 125,2016,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,146,0,0
2017-01-13 10:57,Published Estimate - Full Month,PFMA 13,2016,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2739,477.31,0.17
2017-01-13 10:57,Published Estimate - Full Month,PFMA 14,2016,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,3169,453.97,0.14
2017-02-10 8:52,Published Estimate - Full Month,PFMA 15,2016,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,830,0,0
2017-02-10 8:52,Published Estimate - Full Month,PFMA 16,2016,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1135,0,0
2017-01-13 10:59,Published Estimate - Full Month,PFMA 17,2016,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4634,469.12,0.1
2017-01-11 11:02,Published Estimate - Full Month,PFMA 18,2016,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1025,139.28,0.14
2017-01-11 11:04,Published Estimate - Full Month,PFMA 19,2016,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,3430,862.54,0.25
2017-01-12 8:59,Published Estimate - Full Month,PFMA 20,2016,May,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1610,395.01,0.25
2017-02-10 9:06,Published Estimate - Full Month,PFMA 21,2016,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,91,0,0
2017-02-10 9:06,Published Estimate - Full Month,PFMA 23,2016,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,538,0,0
2017-02-10 9:06,Published Estimate - Full Month,PFMA 24,2016,May,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,139,0,0
